"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","222","Get list of users by username success","tests.users","2026-07-04","passed","2026-07-04","TestGetUsers","test_get_users","",""
"","254","Get current user details success","tests.users","2026-07-04","passed","2026-07-04","TestGetMe","test_get_me_api","",""
"","270","Get list of characters success","tests.characters","2026-07-04","passed","2026-07-04","TestGetCharacters","test_get_characters","",""
"","2036","Create user success","tests.users","2026-07-04","passed","2026-07-04","TestCreateUser","test_create_user","",""
"","492","Get user auth tokens success","tests.tokens","2026-07-04","passed","2026-07-04","TestGetUserAuthToken","test_get_user_auth_token","",""
"","414","Get character by id success","tests.characters","2026-07-04","passed","2026-07-04","TestGetCharacterById","test_get_character_by_id","",""
"","239","Get character by id success","tests.characters","2026-07-04","passed","2026-07-04","TestGetCharacterById","test_get_character_by_id","",""
"","508","Update user details success","tests.users","2026-07-04","passed","2026-07-04","TestUpdateUser","test_update_user","",""
"","410","Get random character success","tests.random","2026-07-04","passed","2026-07-04","TestGetRandomCharacter","test_get_random_character","",""
"","407","Get character by id success","tests.characters","2026-07-04","passed","2026-07-04","TestGetCharacterById","test_get_character_by_id","",""
