"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","235","Get current user details success","tests.users","2026-07-14","passed","2026-07-14","TestGetMe","test_get_me","",""
"","411","Get character by id success","tests.characters","2026-07-14","passed","2026-07-14","TestGetCharacterById","test_get_character_by_id","",""
"","530","Get user auth tokens success","tests.tokens","2026-07-14","passed","2026-07-14","TestGetUserAuthToken","test_get_user_auth_token","",""
"","324","Update user details without access token failure","tests.users","2026-07-14","passed","2026-07-14","TestUpdateUser","test_update_user","",""
"","454","Create user with existing username failure","tests.users","2026-07-14","passed","2026-07-14","TestCreateUser","test_create_user","",""
"","247","Get character by unexisting id failure","tests.characters","2026-07-14","passed","2026-07-14","TestGetCharacterById","test_get_character_by_id","",""
"","424","Get character by id success","tests.characters","2026-07-14","passed","2026-07-14","TestGetCharacterById","test_get_character_by_id","",""
"","246","Get random character success","tests.random","2026-07-14","passed","2026-07-14","TestGetRandomCharacter","test_get_random_character","",""
"","258","Get current user details without access token failure","tests.users","2026-07-14","passed","2026-07-14","TestGetMe","test_get_me","",""
"","237","Get list of users by username success","tests.users","2026-07-14","passed","2026-07-14","TestGetUsers","test_get_users","",""
"","1222","Create user success","tests.users","2026-07-14","passed","2026-07-14","TestCreateUser","test_create_user","",""
"","608","Get list of characters success","tests.characters","2026-07-14","passed","2026-07-14","TestGetCharacters","test_get_characters","",""
"","515","Update user details success","tests.users","2026-07-14","passed","2026-07-14","TestUpdateUser","test_update_user","",""
"","238","Get unexisting user auth tokens failure","tests.tokens","2026-07-14","passed","2026-07-14","TestGetUserAuthToken","test_get_user_auth_token","",""
"","235","Get character by id success","tests.characters","2026-07-14","passed","2026-07-14","TestGetCharacterById","test_get_character_by_id","",""
