"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","Get list of users by username success","tests.users","2026-07-16","passed","2026-07-16","TestGetUsers","test_get_users","",""
"","262","Get character by id success","tests.characters","2026-07-16","passed","2026-07-16","TestGetCharacterById","test_get_character_by_id","",""
"","318","Get unexisting user auth tokens failure","tests.tokens","2026-07-16","passed","2026-07-16","TestGetUserAuthToken","test_get_user_auth_token","",""
"","262","Get random character success","tests.random","2026-07-16","passed","2026-07-16","TestGetRandomCharacter","test_get_random_character","",""
"","236","Get current user details success","tests.users","2026-07-16","passed","2026-07-16","TestGetMe","test_get_me","",""
"","263","Get character by unexisting id failure","tests.characters","2026-07-16","passed","2026-07-16","TestGetCharacterById","test_get_character_by_id","",""
"","422","Get list of characters success","tests.characters","2026-07-16","passed","2026-07-16","TestGetCharacters","test_get_characters","",""
"","224","Get current user details without access token failure","tests.users","2026-07-16","passed","2026-07-16","TestGetMe","test_get_me","",""
"","1671","Create user success","tests.users","2026-07-16","passed","2026-07-16","TestCreateUser","test_create_user","",""
"","396","Get character by id success","tests.characters","2026-07-16","passed","2026-07-16","TestGetCharacterById","test_get_character_by_id","",""
"","426","Get character by id success","tests.characters","2026-07-16","passed","2026-07-16","TestGetCharacterById","test_get_character_by_id","",""
"","469","Update user details success","tests.users","2026-07-16","passed","2026-07-16","TestUpdateUser","test_update_user","",""
"","421","Get user auth tokens success","tests.tokens","2026-07-16","passed","2026-07-16","TestGetUserAuthToken","test_get_user_auth_token","",""
"","252","Update user details without access token failure","tests.users","2026-07-16","passed","2026-07-16","TestUpdateUser","test_update_user","",""
"","434","Create user with existing username failure","tests.users","2026-07-16","passed","2026-07-16","TestCreateUser","test_create_user","",""
