"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","344","Get unexisting user auth tokens failure","tests.tokens","2026-08-29","passed","2026-08-29","TestGetUserAuthToken","test_get_user_auth_token","",""
"","255","Get character by id success","tests.characters","2026-08-29","passed","2026-08-29","TestGetCharacterById","test_get_character_by_id","",""
"","471","Create user with existing username failure","tests.users","2026-08-29","passed","2026-08-29","TestCreateUser","test_create_user","",""
"","520","Update user details success","tests.users","2026-08-29","passed","2026-08-29","TestUpdateUser","test_update_user","",""
"","443","Get character by unexisting id failure","tests.characters","2026-08-29","passed","2026-08-29","TestGetCharacterById","test_get_character_by_id","",""
"","214","Update user details without access token failure","tests.users","2026-08-29","passed","2026-08-29","TestUpdateUser","test_update_user","",""
"","453","Get list of characters success","tests.characters","2026-08-29","passed","2026-08-29","TestGetCharacters","test_get_characters","",""
"","540","Get user auth tokens success","tests.tokens","2026-08-29","passed","2026-08-29","TestGetUserAuthToken","test_get_user_auth_token","",""
"","708","Get character by id success","tests.characters","2026-08-29","passed","2026-08-29","TestGetCharacterById","test_get_character_by_id","",""
"","285","Get current user details success","tests.users","2026-08-29","passed","2026-08-29","TestGetMe","test_get_me","",""
"","1474","Create user success","tests.users","2026-08-29","passed","2026-08-29","TestCreateUser","test_create_user","",""
"","433","Get character by id success","tests.characters","2026-08-29","passed","2026-08-29","TestGetCharacterById","test_get_character_by_id","",""
"","216","Get current user details without access token failure","tests.users","2026-08-29","passed","2026-08-29","TestGetMe","test_get_me","",""
"","220","Get list of users by username success","tests.users","2026-08-29","passed","2026-08-29","TestGetUsers","test_get_users","",""
"","237","Get random character success","tests.random","2026-08-29","passed","2026-08-29","TestGetRandomCharacter","test_get_random_character","",""
