"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","97","Get unexisting user auth tokens failure","tests.tokens","2026-08-30","passed","2026-08-30","TestGetUserAuthToken","test_get_user_auth_token","",""
"","104","Update user details without access token failure","tests.users","2026-08-30","passed","2026-08-30","TestUpdateUser","test_update_user","",""
"","89","Get character by unexisting id failure","tests.characters","2026-08-30","passed","2026-08-30","TestGetCharacterById","test_get_character_by_id","",""
"","211","Update user details success","tests.users","2026-08-30","passed","2026-08-30","TestUpdateUser","test_update_user","",""
"","1520","Create user success","tests.users","2026-08-30","passed","2026-08-30","TestCreateUser","test_create_user","",""
"","106","Get current user details without access token failure","tests.users","2026-08-30","passed","2026-08-30","TestGetMe","test_get_me","",""
"","82","Get character by id success","tests.characters","2026-08-30","passed","2026-08-30","TestGetCharacterById","test_get_character_by_id","",""
"","333","Create user with existing username failure","tests.users","2026-08-30","passed","2026-08-30","TestCreateUser","test_create_user","",""
"","155","Get random character success","tests.random","2026-08-30","passed","2026-08-30","TestGetRandomCharacter","test_get_random_character","",""
"","496","Get list of characters success","tests.characters","2026-08-30","passed","2026-08-30","TestGetCharacters","test_get_characters","",""
"","168","Get list of users by username success","tests.users","2026-08-30","passed","2026-08-30","TestGetUsers","test_get_users","",""
"","150","Get current user details success","tests.users","2026-08-30","passed","2026-08-30","TestGetMe","test_get_me","",""
"","244","Get user auth tokens success","tests.tokens","2026-08-30","passed","2026-08-30","TestGetUserAuthToken","test_get_user_auth_token","",""
"","295","Get character by id success","tests.characters","2026-08-30","passed","2026-08-30","TestGetCharacterById","test_get_character_by_id","",""
"","290","Get character by id success","tests.characters","2026-08-30","passed","2026-08-30","TestGetCharacterById","test_get_character_by_id","",""
