"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","344","Update user details without access token failure","tests.users","2026-07-04","passed","2026-07-04","TestUpdateUser","test_update_user","",""
"","663","Get character by unexisting id failure","tests.characters","2026-07-04","passed","2026-07-04","TestGetCharacterById","test_get_character_by_id","",""
"","464","Create user with existing username failure","tests.users","2026-07-04","passed","2026-07-04","TestCreateUser","test_create_user","",""
"","663","Get unexisting user auth tokens failure","tests.tokens","2026-07-04","passed","2026-07-04","TestGetUserAuthToken","test_get_user_auth_token","",""
"","470","Get current user details without access token failure","tests.users","2026-07-04","passed","2026-07-04","TestGetMe","test_get_me_api","",""
