"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Users service","1","0","Update user details","0"
"0","","0","Characters service","1","0","Get character by id","0"
"0","","0","Users service","1","0","Create user","0"
"0","","0","Authentication","1","0","Get user auth tokens","0"
"0","","0","Users service","1","0","Get information about current user","0"
