"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","331","Get user auth tokens success","tests.tokens","2026-07-12","passed","2026-07-12","TestGetUserAuthToken","test_get_user_auth_token","",""
"","176","Get random character success","tests.random","2026-07-12","passed","2026-07-12","TestGetRandomCharacter","test_get_random_character","",""
"","298","Get character by id success","tests.characters","2026-07-12","passed","2026-07-12","TestGetCharacterById","test_get_character_by_id","",""
"","340","Get character by id success","tests.characters","2026-07-12","passed","2026-07-12","TestGetCharacterById","test_get_character_by_id","",""
"","345","Get current user details without access token failure","tests.users","2026-07-12","passed","2026-07-12","TestGetMe","test_get_me_api","",""
"","128","Get list of users by username success","tests.users","2026-07-12","passed","2026-07-12","TestGetUsers","test_get_users","",""
"","316","Get list of characters success","tests.characters","2026-07-12","passed","2026-07-12","TestGetCharacters","test_get_characters","",""
"","321","Create user with existing username failure","tests.users","2026-07-12","passed","2026-07-12","TestCreateUser","test_create_user","",""
"","207","Get character by id success","tests.characters","2026-07-12","passed","2026-07-12","TestGetCharacterById","test_get_character_by_id","",""
"","209","Get current user details success","tests.users","2026-07-12","passed","2026-07-12","TestGetMe","test_get_me_api","",""
"","152","Get unexisting user auth tokens failure","tests.tokens","2026-07-12","passed","2026-07-12","TestGetUserAuthToken","test_get_user_auth_token","",""
"","172","Get character by unexisting id failure","tests.characters","2026-07-12","passed","2026-07-12","TestGetCharacterById","test_get_character_by_id","",""
"","105","Update user details without access token failure","tests.users","2026-07-12","passed","2026-07-12","TestUpdateUser","test_update_user","",""
"","1754","Create user success","tests.users","2026-07-12","passed","2026-07-12","TestCreateUser","test_create_user","",""
"","245","Update user details success","tests.users","2026-07-12","passed","2026-07-12","TestUpdateUser","test_update_user","",""
